Comments,Ratings
"Curtis gets a bad rep because she really doesn't make learning accounting fun. This class will destroy your gpa if you don't teach yourself the material and practice. I review a lot, used at the textbook a few times, but make sure you practice the PRACTICE EXAMS AND CLASS ACTIVITIES. The class isn't bad-- Susan's relentless off-tangent talking is",1.0
"Knows her stuff but isn't always the best at showing it. Often goes off on tangents for up to twenty minutes, but is able to explain topics thoroughly when focused. Pre-quizzes were the hardest part of the class, so make sure you study beforehand. Class activities help a lot with studying so do them. Gives extra credit towards end of semester.",1.0
"Susan is definitely not the best professor if you didn't take accounting in high school. The textbooks are expensive and useless, the lecture notebook is probably the best thing to get even though it is optional. Be prepared to work, go to office hours, and study every day if you didn't take accounting in high school.",0.0
"She only teaches 20% of the time, but she does it really well. I did all the recommended practice problems, went to class, took notes, and did several practice exams before midterms and got an A+ in class. To do well in tests you have to understand accounting. This is where the practice problems and lectures helped me the most.",1.0
feel really bad for this course,0.0
"Prof Curtis is such a nice and lively person but I just cannot learn from her. The class has minimal structure, there are literally no resources to use on your own except the notes you take in class. Textbook doesn't help at all because it doesn't demonstrate any of the math problems, which is like all she tests on. Tests don't match lecture at all",0.0
"Susan is a hard person to hate. Her energy and theatrics borderline on obnoxious, but you kind of just admire that part of her. She's really passionate about accounting, and will do everything possible to get you to understand the material (including singing, dancing, and rapping).",1.0
"Susan Curtis tells a lot of stories during lecture, which isn't  necessarily a bad thing, but it distracts from actually getting students to understand material. Online Mini-Tests are given, and you never know if you're getting questions wrong because you're completely wrong or because of calculator rounding errors. It doesn't show the right answer",0.0
"Very much a weed-out class. The professor allocates time poorly, often going off on tangents more appropriate for office hours than during a lecture where direct class material should be covered. Discussion sessions are the real chance to learn, and I am noticing the holes in my foundation while taking 202. Concepts are simple, delivery is weak.",0.0
"If you want help, go find TAs. The professor only go through stuff on PPT, which are already posted on Compass. Things are easy but really need practice. The class is really ""optional"" as long as you attend her ""extra credit"" sections to get the points. Her ""extra credit"" means mandatory attendance.",1.0
"Dr. Curtis is an amiable personality, who engages with the students. I only wish that the way she graded was no so heavy on the midterms and that her lectures were more in sink with exam content.",1.0
"Curtis's lectures are funny and entertaining but she spends SO much time talking about unnecessary things. Everything she covers is online. The exams are easy and the final is optional. I made the mistake of buying the textsbooks, the only one your will use is are the lecture note books, never even opened the other two.",0.0
Probably the easiest accy class in the department. I only went to class when she announced there are extra credit opportunity and studied all the materials myself at home. It was an easy A if you go through the past exam and make sure you know how to prepare all the financial statements.  And do go to lecture during the Halloween!,1.0
She is funny. Amazing lecturer only because her lecture is kind of a relax for me. Only thing I learnt from her is just debits on the left and credits on he right. Be really excite about her costumes during Halloween as well. The course changed a lot after I took it. She added pop quizzes so not sure about the class material right now.,1.0
"Curtis does a good job teaching a challenging class. Fail one exam, you fail the class. The generic rubric is 50% for Exam 1 and 50% for Exam 2. Curtis posts slides online that contain what is taught in lecture. I would recommend discussion as the TA's are very helpful. She does provide a 40%, 40%, 20% (optional points) grading option too.",1.0
"Only two midterms throughout the semester (Spring 2016) worth 200 points each. No other way to gain points. Fail one exam and you fail the entire course. Nice person, but horrible professor and has an even worse system of grading. Take at community college if you don't want to risk plumeting your GPA.",0.0
"
                      This class definitely is not easy. Considered the ""weed out"" class for students wanting to study Accounting. If you put in the work and go to her office hours though it is very possible to get an A. Work hard from the beginning if you want to do well.
                  ",1.0
Dont take him unless you have too. Nice guy but makes his exams unnecessarily hard - makes them for the BEST students in the class. I consider myself a pretty hardworking student and I dedicated hours to this class. Ended up with a B- and honestly proud of that.,0.0
"Although Hummel is a nice guy, he is not a very good lecturer. He doesn't explain concepts well, and when he's doing practice problems he doesn't explain it well either. If anything, I learn more in discussion than lecture.",0.0
Dont be stupid and miss lecture. He gives out test questions in lecture. His tests arent bad at all if u do the work in his class. He honestly has a bad rep cuz people dont want to study. Hes a nice professor. And YES he is TRICKY TOM but if u do the practice tests U CAN CONQUER THIS BEAST.,1.0
"Good lecturer. Course notes/booklet is very concise and teaches you chemistry well. Exams require studying and practice, but are very fair and representative of HW and lecture material. However, the curves also really suck on them, as anything about 85% and above has virtually no curve, while you need a total score in the 90s to recieve an A.",1.0
"Hummel is an amazing lecturer. The class is pretty fast-paced but he is always willing to meet with students outside of office hours. Tests can be hard to do super well on because of tricky wording, but he gives you everything you need to do well. The class is unnecessarily difficult but if you put in the work it's very possible to do well.",1.0
"Nice and interesting Prof though making tricking multiple choice exams. Even if you know everything you may still get an unpleasant grade in exams. He scales exams with some normal-distribution-like ways so if you score a 20 you get bumped to somewhere near 50 or 60, but if you score like a 88 or 91 there's very little curve.",1.0
"Professor Hummel legit made me like chemistry. I struggled in my high school chemistry classes and hated the subject because of my awful teachers. He was different, taught with enthusiasm and managed to fit so much material in 50 minute lectures without making it feel rushed. Still requires a lot of work, and remember to do every HW assignments.",1.0
TRICKY TOM BACK AT IT AGAIN WITH THE TRICKIEST TESTS POSSIBLE!!!,0.0
"He moves through the material quickly, but will explain most things clearly. He gives a lot of practice exams, and if you do those and the practice problems in the book, you can do well on the exams.",1.0
"Hummel lives up to his name Tricky Tom, but he's not as bad as most people say. Everything in the class is easy except for the tests. The tests are written specifically to make you believe you have the right answer, but in reality you don't. Go to lecture every day because he covers a lot of material the TA's don't.",1.0
"I really enjoyed Professor Hummel. He was a fair teacher in terms of laying out what was expected in his class. Lectures are very interesting. This class was a challenge, but I was in AP Chem so be prepared to work hard.",1.0
"""Tricky Tom"" is known for his tough exams but they are not impossible. If you don't get something that went on in lecture get help at the CLC, his office hours, or your TA's office hours. All his exams are scaled which helps a lot. Homework is worth a lot in the end so as long as you do that you shouldn't do that bad. GO TO LECTURE, handouts book>",1.0
"Professor Hummel is actually a pretty good teacher especially one on one. Go to office hours even if you only have one question. Honestly, I don't think the material is all that difficult, but the exam questions can be unreasonably hard. You need to go to every single lecture and discussion if you want to do well in this class. Study hard.",1.0
Classes are interesting with experiments and jokes. Clear about what will be tested. Tests are easy as long as you are clear about the concepts (knowing why instead of only understanding the formulas and calculations). Answers questions super clearly if you go to him after class. Rated poorly only because people who don't study much suffers.,1.0
"Thought Tom was rude and just an overall poor professor. Tom was definitely the worst professor I had during all my years at Illinois. Wouldn't recommend Tom to anyone, he's just a nightmare to say the least. I regret every moment I spent in that class. If I could go back I definitely would have taken the class with any other professor except Tom.",0.0
Decent professor. exists very well. has not phased out of class. always there to hand out money (so make sure to answer questions).,1.0
"He provided lots of help to students including answering e-mails at any time, providing past exams... But his tests are little bit hard. Need to study hard.",1.0
"From what I heard about other chem 102 professors, Hummel is definitely a solid choice. He goes over example problems consistently in lecture and has cool demos. Although there is a fair amount of work for the class, he's good at teaching it!",1.0
"Honestly, it wasn't bad. Hourly exams are same difficulty levels as past hourly exams. so get them done ahead of time. Also, do all homework questions (including recommended ones). Do homework after lecture. don't slack off.",1.0
"
                      Very test heavy class, which is very unfair  considering his tests are both tricky as well as low on time.  If chemistry is a weak spot for you, try to take 101 first.  When you get to this class, make sure you take a couple hours out of your week to just revise, this class will kick your ass if you don't put in work.
                  ",1.0
"Javid hands out treats for correct answers in class, it kept students like me engaged in the lecture. He makes funny jokes and narrate anecdotes, they kept the mood of the classroom lively and entertaining.  Lectures were very thorough given the fact that there were so much material to cover in a short amount of time.",1.0
By far my favorite professor yet. I really hate to see him leave UIUC  because I was hoping to sign up for his calc II class again. Everything in the class was pretty much perfect and made calculus very enjoyable.,1.0
"The biggest advantage to Validashti's class is his tests. Unlike the horror stories I hear from classmates about their tests, the tests are very fair and straightforward. Take notes at lectures and do the practice tests that he sends you and you should get at least a B. People with AP credit will still find this course as a nice refresher.",1.0
"Validashti is the man. He's the funniest professor I've had and his jokes are on point. However, I'm not a great math student and I felt calc was my hardest freshman course. He teaches at a really fast pace, and be prepared to learn.",1.0
This guy was the man.  He was pretty funny and his class was super easy.  I never went and got a 96 on the final.  Would've gotten an A for sure but I never went,1.0
Great,1.0
"Overall, I thought the class was great. Some of the concepts covered in this course were the ones that I had struggled with before, but the way in which the material were presented made it clear and engaging, and I feel very comfortable with the concepts now and feel that I have a more encompassing understanding of them.",1.0
"Great Professor, gives candy for correct answer and makes sure he gets in a few jokes here and there each class",1.0
Great professor to have when dealing with the transition between high school and college.,1.0
I enjoy going to his lectures.,1.0
Great professor would recomend,1.0
He is a great professor! Throws candy for right answers and just overall great,1.0
"Javid really lets you know that he's a normal human being by making his class as enjoyable as possible. His practice tests are pretty true to the exams and as long as you take the homework seriously and try to pay attention in lecture, you won't have a problem. Easily my favorite professor this semester.",1.0
"He's really a great professor who is able to connect with students. He has made my first semester much less harder than it needed to be because his tests and quizzes were straight forward and not overly difficult like other professors teaching the same class. If you have taken AP calculus, this class shouldn't be very difficult at all.",1.0
"Javid Validashti, what a man. What a man.",1.0
"He is seriously the nicest, funniest guy! Treats students like his friends, but is also very willing to help! I find his tests very straight forward and easy if you understand the material. No curve balls like other professors do on their tests. Currently planning my whole next semester schedule around having him for Calc 2. Papa V all the way",1.0
"Professor Validashti is funny, intelligent, and definitely one of my favorite professors so far.  His exams are fair, and there isn't much homework.",1.0
Hilarious jokes in class,1.0
Pretty awesome,1.0
"
                      Sexiest professor on Campus. the class was fun too. Not too bad, be sure to take! passes out candy for each right answer in lecture.
                  ",1.0
"A very cool professor who teaches perfectly in his lectures. This is a very test-heavy class. He's very organized and wants you to succeed given that you put in the effort. His quizzes and tests might be difficult, but he has all of his past exams posted on his website (literally from his 10 years of teaching) and they're all pretty much the same",1.0
"Great calc teacher. Made the class interesting, and the material was well described and easy to understand. The access to past tests/quizzes made studying easy, was an awesome resource. He was a great lecturer who made the points clear and the lectures funny with occasional jokes. Would definately reccomend",1.0
"Murphy is absolutely an amazing professor not because of how he teaches in the lectures but because he posts all the lecture notes on the internet. Besides, preparing yourself with the past quizzes and past exams before the tests and there is no way you can't get an A because all the problems are directly drew from the past with slightly changes.",1.0
One of the best Math Calculus teachers I have Ever had. He does go fast but all you need to do to Ace the class is repeatedly to his past quizzes and exams until you get all problems and you are GUARANTEED to Ace the exams,1.0
"Bob Murphy is an awesome teacher! He works at a very fast pace though, so you have to be prepared to write notes quickly and re-read them for understanding after class. He is generous with office hours and will stay after to help you if you need it. Get to know him because he's great to go to for help. 10/10 recommend his class. I learned a ton!!!",1.0
"Murphy is not a good lecturer. Moves too quickly and the problems covered in class are mere childs play compared to our tests and quizzes. The textbook is also pretty difficult to understand. Lectures need to be drastically improved. The tests and quizzes are 2x hard as the homework and discussion problems. Wanna pass? Ditch lecture, use YouTube.",0.0
"While Professor Murphy may be incredibly smart, that does not define him as a professor. The grading in the class is 80% tests, 20% quizzes. The class average for tests (out of 700 students) remains at a 60% even as more and more people drop the class throughout the semester. Don't expect to pass this class coming from a public school education.",0.0
"Best Professor ever. He can really make math interesting even for those who hate it. Grading policy is clear, and he's welling to help. He answered all my weird questions, many of which are math problems irrelavent to class. By the way, you don't need to purchase (super expensive) access code only if you're in his section. Choose him !!!!!",1.0
Bob Murphy is pretty solid. Like this man knows how to lecture and give some practice material. Take him if you get the chance because you will actually learn.,1.0
"Bob Murphy is not only the pinnacle of the mathematical mind. He is also perhaps the most superb human being mankind has available. From his chalk saturated T-shirts, to his affinity to guzzle water mid lecture. There is currently no doubt in my mind or the collective opinion of the UIUC student body that Bob Murphy is an immortal calculus deity.",1.0
Easily one of the hardest math classes I've ever taken. The course is aimed at Engineering and Math majors which implies that it is tough to begin with. The homework is very tedious and is not nearly as hard as the quiz and test questions. Best way to prepare for those are by looking at his old tests and quizzes. Class is hard to even pass.,1.0
"Professor Murphy is great. He is very knowledgeable about his material which makes it easy to understand during lecture. His exams are very difficult but he provides you with past quizzes and tests that you can use to practice. If you want an A, you definitely need to put in the work.",1.0
"Best Math professor I've ever had. In high school I always got an C- on Math, but Murphy's course gives me an A and helps me regain my confidence. True the average is 60%, but that's because those who never study get 0 out of 100. In fact, most can get 85+ (even 100) on every test. Attending lectures & doing old test will ensure you at least an A-",1.0
"Murphy is a great professor. He is exemplary at giving other methods of solving problems besides the book, and is very concise and clear on his explanations. If you read the textbook and study the past quizzes and tests, the material and exams arent as tough as everyone makes them out to be. Make sure to go to all the lectures, as they are useful.",1.0
Very nice guy. I wish he taught more advanced calc too.,1.0
"Be careful. This is a tough class. Do not take chemistry 102 at the same time. Study his past exams for at least 20 hours, it helps. His exams can be EXTREMELY difficult, but that is calculus here. DON'T UNDERESTIMATE HIS CLASS!",1.0
Super hard class but he can explain well cor the short amount of class time,1.0
"You'll have to put in a lot of time to get an A in this class. Missing a lecture will definitely set you back a bit. This was Bob's first time teaching this so the curve didn't fit the class super well and there wasn't much to look back on. The tests are much harder than hw and quizzes, also he didn't adjust for the strike at all which screwed me",1.0
"Hardest math class I've ever taken. His lectures are not bad by any means, but the only way to prepare for his quizzes and tests is by looking at examples from his previous MATH 220 and 221 classes. Homework completely misses the point compared to tests. Quizzes and tests are another level of difficult compared to lecture and homework.",0.0
"
                      Best math lecturer every studied under
                  ",1.0
Worst professor ever. Avoid taking his courses at any costs.,0.0
Listen the dude was a great teacher but he is a predator. But his 203 class was one of my fave econ classes i ever took.,0.0
Chris Matthews would not be proud...,1.0
Straightforward professor and a great explainer of things. He's very caring and approachable.,1.0
great class!,1.0
"He gave big curves to every exam, and the project is pretty easy.",1.0
"Petry is a great professor and I have learned a lot from him. While his lectures may begin to bore you near the end of the semester, he is great at explaining and knows what he is talking about. The term paper is easy just follow the guidelines and the homework is easy as long as you read the book. Attendance matters because there are iclicker q's.",1.0
"Petry is real nice and is obviously passionate about Economics. However, I really struggle with his teaching style and feel like I'm learning everything on my own. If you're someone who needs to be taught the material and struggles with doing readings, this is not the class for you. This class also has a ton of homework in addition to the readings.",1.0
"ECON 203 has interesting materials, I really enjoyed the class in general. Besides, he gives a lot of extra credits, making the median to be like 82%. I never had those kinds of classes in my life where the median is 82%. His homework and pre-lectures just help you prepare for all the exams. All the exams are pretty much similar to practice exams.",1.0
I don't know how anyone can give this guy anything below 4.5. One of the best professors I've had on campus. Clear. Engaging. Friendly. Funny. BUY THE COURSE PACKET!,1.0
"The class material wasn't difficult, but I didn't really like his teaching style. He uses a pre-lecture homework based on the textbook to ""teach"" you the material and then spends half the class time or more barraging you with iclicker questions that he hardly goes over. However, he does give you extra credit on the pre lectures so that's good.",1.0
good,1.0
By far my favorite Economics professor at the University. He's so funny and actually cares about the success of his students. He WANTS you to do well. Lectures went by so quickly because I was always learning something instead of spacing out. Exams were tough but grades were saved with a generous curve. 25% curve on Exam 2 my semester!,1.0
"Easy A. Show up for the iClicker-heavy lectures and make time for the tedious weekly homework assignments and you'll breeze through the course. The exams are simply variations of the practice exams in the course packet, so make sure to do those. Petry isn't a great lecturer by any means but his enthusiasm is contagious. He certainly knows his stuff",1.0
Petry is awesome and loves interacting with his class. He is ALWAYS trying to improve the course and constantly seeks feedback from the students about what him and his TAs could be doing better. Class act,1.0
You have around 7 homework assignments a week that will each take approximately 30 minutes. Homework is worth 20% of your grade and takes up more time than it's worth. Lectures are useless because he doesn't lecture he only asks iClicker questions that will not help you. The only way to do good on exams is the practice exams. Final is impossible.,0.0
"By far the worst class I've ever taken at the University of Illinois. We were required to purchase an iclicker, a ""course packet"" that was just printed out lecture slides, and access to online homework which was a huge amount of mind numbing busywork. The only reason anyone showed up to lectures was for iclicker credit. AVOID AT ALL COSTS.",0.0
Thumbs up!!! Lots of Extra Credit!!!,1.0
Thumbs up!!!,1.0
"
                      You definitely had to work for your grade. I studied extensively for the exams and utilized outside resources yet I would receive low exam scores. The exams are EXTREMELY hard but he makes up for it with a curve. Definitely the hardest business core class. First class I ever got a B in.
                  ",1.0
"I can't stand how sloooooooooowly she explains concepts, by the time she finishes talking I forget what she was even saying in the first place. The lectures could easily be 50 minutes, but she takes 80. I also frequently wonder whether she fully understands these concepts during her lectures, or is just reading off the book...",0.0
"Taking Fireman's STAT200 this semester, and I'm pretty sure I would like to take her classes again. She is organized in explaining stuffs, and provides detailed study guides for each exam. It should be a fun class even if you didn't have fun with math in the previous, and it prepares me well for stat400/410.",1.0
Online lectures are very clear and easy to follow. Class itself covers a lot of material and can be a little difficult but she prepares you for the exams really well and provides lots of resources for studying. Require work to do well but I learned a lot in this class.,1.0
Wonderful and kind,1.0
Fireman is very nice but sometimes confusing in the way she explains things. The material isn't too hard though and you can figure out what's going on by following her examples in the textbook. All lecture videos are posted online so attendance is not mandatory but you can get extra credit with clicker questions.,1.0
"Highly recommend! Great class, very well structured and interesting.",1.0
"Hated this class as an online class. You just watch lecture videos that were actually done by Karle Flanagan (who is great). Homework is extensive and tests aren't that hard, but just overall boring and I forgot I was in it most of the time.",0.0
Fireman is okay at best. Just pay attention and you can get a good grade.,0.0
Awesome!,1.0
This class was easy as long as the lectures were watched and the homework was done.  If you do what's required it's an easy A.,1.0
"Fireman is really helpful & she uses interesting examples.  Still like in any math class the temptation to fall asleep is real.   A lot of people say it is easy A, but I guess that's true if you're naturally great at math.  I had to work for it but it wasn't impossible.  You can guarantee like a 2% overall grade raise if you do all the bonus work.",1.0
"I think she is a fairly good lecturer. Sometimes, it gets really boring and tiring going to class, she is really funny and makes Statistics interesting. It is worth taking the course. I recommend it. You can just watch videos at home if you just want to take a nap.",1.0
"Professor Fireman is a little weird and funny at times, but her ability as a lecturer fell short of my expectations. She's very friendly and offers plenty of extra credit, but she's not very well-spoken, often struggling to explain and losing her train of thought. I had previously heard good things about her, but her STAT 200 lectures were a bore.",1.0
"The class is easy; I managed to get an A without much effort. That being said, Fireman is an absolutely dreadful lecturer and her speaking style often contains a great many words and little content. She tends to dawdle on examples and I often fall asleep during the class. However shes a funny lady and very relatable. Gives lots of bonus credit.",0.0
Love! Dr. Fireman is awesome (and hot)!,1.0
"Very helpful, clearest math educator I've ever met. Very passionate about teaching. Wrote the textbook herself. You will learn concepts, not just formulas. Go to office hours! You will get an A if you go there, they will explain everything. Videos of the course are offered online so you can miss classes and not fall far behind.",1.0
The class is interesting and fireman creates most of the material herself. She teaches in a way that gets my attention and I wish most teachers taught like her. She understands that different students learn differently and that we do not like those boring text books that take forever to get the point across.,1.0
She is amazing! You will learn a lot of valuable things about Stats,1.0
Best class I've ever had! It is easy because she is making everything so clear!,1.0
"
                      She has been my absolute favorite teacher to have here on this campus. Super easy course and it's fun to be in class for once
                  ",1.0
"Professor Snodgrass is so passionate about his subject and about his class which makes coming to class everyday so great. His labs are challenging, but he gives you a lot of time to do them, and he gives extra credit opportunities.",1.0
"Eric is great. I was missing some class and hes been great about excepting late work and meeting me privately to go over material. His lectures, though not mandatory, are a great time because hes so passionate about it , is very funny, and devotes time to going over upcoming weather. If you have any interest in atmos science take 1 of his classes!",1.0
best professor I have ever had! His class is full of passion and humour! I hope I can take all his classes!,1.0
A very passionate and nice professor. His lectures have memorable personal stories and cool weather disaster videos. It is easy provided you put in some effort. If you get the chance take 120 with Snodgrass.,1.0
"Snodgrass is one of the best lecturers I've had. He includes funny stories and videos to keep students engaged in topics that otherwise could be very dry. This semester tests were in person rather than online, but the content was manageable and he curved appropriately. Easy A if you show up to class, take notes, and complete homework / extra credit",1.0
"Exams (3) weren't too bad if you review lecture notes (no final). You have weekly labs that are kind of hard, but he's always helpful & answers/hints can be found on compass. Lots of e.c. He is such a cool guy & is really passionate about what he does. His lectures are awesome, funny, & interesting. Would take his class again.",1.0
"Professor Snodgrass is one of the most inspiring professors I've had since college. He is super professional, helpful and most importantly extremely passionate about what he does. I'm taking his class to fulfill my gen eds, and I didn't know anything about ATMS before this class, but his lectures are very fun and interesting!",1.0
Professor Snodgrass is great and the lectures are amazing. You should definitely come to lecture because there are mandatory i-Clicker points. Only one semi-easy assignment per week and the extra credit reading quiz answers are not hard. Give it even a half effort and you'll do very well,1.0
I took this class just for the fun of it and it's easily the best class I've taken at UIUC. I was always hyped to go to lecture and truly sad when I had to miss it. Snodgrass is so engaging and has some really funny jokes to go along with his lecture. The class is a must take.,1.0
"Snodgrass is great! Lectures were really engaging and the assignments were very fair. Take the time to do the extra credit, because it will make up for some tough exam questions or the small mistakes you might make on the math homeworks.   Incredible guy - definitely recommend taking the class.",1.0
"Snodgrass is amazing. I am sad that I am no longer in his class, but I still feel the urge to send him any weather pictures I have when I get the chance. His lectures are absolutely hilarious and so interesting. ATMS120 is super easy. 30% of the grade is guaranteed just by showing up, only 10 short HW assignments, easy online tests, and lots of EC",1.0
"Prof snodgrass knows a crazy amount about the atmosphere and life in general. A lot of people choose this for a blow-off class because of the level of difficulty. But, if you pay attention you will truly learn a lot of very applicable information.",1.0
"Extremely easy class. Can't imagine a scenario where any non science major would not take this as one of their 2 science gen ends. Snodgrass is funny, an engaging lecturer and you're basically guaranteed an A so long as you try at all.",1.0
Great professor and the class is very easy if you go to lecture. He makes you want to learn because of how interesting all of his lectures are. Tells great stories and is super funny. 10/10 would recommend to anyone,1.0
"This was the second ATMS class I took, and Snodgrass was great. His lectures are engaging and I actually retained a lot of the material.",1.0
"Made information relevant to  class material. Please show up to class, it pays off! Gives extra credit and also allows students to take exams at home. Used videos and images. Made lecture enjoyable yet applicable. Learned more than weather but also tips to survive. Would definitely take again!",1.0
Favorite professor in the world,1.0
"I graduated from uiuc in 2015, and took atms 120 my sophomore year. by far the best and most memorable class I ever took, and I still use my knowledge to this day. Thank you to Professor Snodgrass for giving your students an awesome class to look forward to - I couldn't say that about really any of my other classes. Thank you!",1.0
"Definitely not as easy at ATMS 120, but still a really good class. If you put in the work, you can literally guarantee an A+. You are allowed to post solutions to the daily homework on the class discussion board, and the tests are very fair. Snodgrass is one of those rare professors who doesn't take pride in failing students.",1.0
"
                      He is a great professor! He knows this is a GenEd course and because of that gives a lot of help to students. Lectures are interesting and he uses tons of funny videos and pictures. All of the tests were online and there was tons of extra credit. If you have questions he is always willing to help. Definitely would recommend this class to everyone!
                  ",1.0
Easily the worst professor I've ever had. Her lecture videos are not helpful when it comes to the homework assignments and quizzes at all. She never responds to any emails and is just a horrible teacher. You're best bet is to go to your TAs office hours every week for hours to understand how to do the work.,0.0
"Extremely unorganized course. Professor doesn't answer questions thoroughly, she only refer us to the TA's. The TA's don't answer questions thoroughly either. The basic calculator rule is bad. There are no advantages of using a basic calculator vs a scientific calculator. Doesn't reply to emails. Doesn't even teach in lecture. Lots of extra credit",0.0
"I'm not sure why she is an unpopular professor generally. I thought that she put exactly what she said would be on the quizzes and tests on the quizzes and tests with few surprises. She also hit us with random extra credit to inflate everyone's grades, which no one dislikes. She is good, I recommend, but there is a lot of busy work.",1.0
"The class would have been fine without being required to use those awful, basic calculators. One little mistake typing into your calculator and you have to restart from the beginning! I do not even think she has office hours. Oh well, at least she is becoming better compared to her previous semesters. The final was not difficult.",0.0
The course is well distributed amongst many different aspects and hence allows the students to learn a lot of different things. Pre lectures are self explanatory and hence going to lectures is not mandatory.,1.0
"Hoo boy, literally one of the worst professors I've ever had. She does not answer ANY emails, has no office hours, and often leaves the freaking lecture early, so all 200 students in lecture have to bother the TA's who sometimes don't know the answer either. Her class is poorly run, she isn't helpful at all aside from her videos. hated this class.",0.0
"Shes easily the worst professor Ive ever had. Im still getting a B, but this professor wont ever reply to emails, explain anything clearly, or use an ounce of common sense. Some assignments are due at 5am, some classes we go over one sample problem for an hour, you cant use a laptop for notes but its a stats class, etc",0.0
She's mean person and doesnt even care about teaching I think.,0.0
"worst professor ever, dont take his class.",0.0
"Prof. Schultz does everything she can to make students succeed. Her flipped classroom method works great and lectures are really helpful. She will drop some grades if the class seems like they are working. The videos are very informative and exams are just like the homework. Study HARD for the Final though, it's tough",1.0
"I liked Schultz, she really tried to help us good grades and rewarded us for working so hard. My advice would be STUDY FOR POP QUIZZES and STUDY FOR THE FINAL. I had a solid A+ in the class, but failed both the quiz category and the final and dropped to a B+. Overall, not a bad teacher but you gotta work for a good grade.",1.0
